Season,League,League,League,League,League,League,League,League,League,Cup[1],Sup,Other competitions,Other competitions,Other competitions,Other competitions,Other competitions,Top scorer[2],Top scorer[2]
Season,Division,P,W,D,L,F,A,Pts,Pos,Cup[1],Sup,CL[3],UC[4],CW,SC[5],CWC[6],Name,Goals
1991–92,La Liga,38,24,5,9,67,35,53,3rd,W,RU,,,QF,,,Manolo,36
1992–93,La Liga,38,16,11,11,52,42,43,6th,R16,RU,,,SF,,,Luis García,20
1993–94,La Liga,38,13,9,16,54,54,35,12th,R16,,,2R,,,,Luis García,16
1994–95,La Liga,38,13,9,16,56,54,35,14th,QF,,,,,,,José Luis Caminero,11
1995–96,La Liga,42,26,9,7,75,32,87,W,W,,,,,,,Lyuboslav Penev,22
1996–97,La Liga,42,20,11,11,76,64,71,5th,QF,RU,QF,,,,,Juan Esnáider,21
1997–98,La Liga,38,16,12,10,79,56,60,7th,R16,,,SF,,,,Christian Vieri,29
1998–99,La Liga,38,12,10,16,54,50,46,13th,RU,,,SF,,,,José Mari,16
1999–00,La Liga,38,9,11,18,48,64,38,19th,RU,,,R16,,,,Jimmy Floyd Hasselbaink,35
2000–01,2ª División,42,21,11,10,59,39,74,4th,SF,,,,,,,Salva Ballesta,21
2001–02,2ª División,42,23,10,9,68,44,79,1st,1R,,,,,,,Diego Alonso,22
2002–03,La Liga,38,12,11,15,51,56,47,12th,QF,,,,,,,Fernando Torres,13
2003–04,La Liga,38,15,10,13,51,53,55,7th,QF,,,,,,,Fernando Torres,19
2004–05,La Liga,38,13,11,14,40,34,50,11th,SF,,,,,,,Fernando Torres,16
2005–06,La Liga,38,13,13,12,45,37,52,10th,SF,,,,,,,Fernando Torres,13
2006–07,La Liga,38,17,9,12,46,39,60,7th,R16,,,,,,,Fernando Torres,15
2007–08,La Liga,38,19,7,12,66,47,64,4th,QF,,,R32,,,,Sergio Agüero,27
2008–09,La Liga,38,20,7,11,80,57,67,4th,QF,,R16,,,,,Diego Forlán,35
2009–10,La Liga,38,17,7,14,62,53,58,9th,RU,,GS,W,,,,Diego Forlán,28
2010–11,La Liga,38,17,7,14,62,53,58,7th,QF,,,GS,,W,,Sergio Agüero,27
2011–12,La Liga,38,15,11,12,53,46,56,5th,R32,,,W,,,,Radamel Falcao,36
2012–13,La Liga,38,23,7,8,65,31,76,3rd,W,,,R32,,W,,Radamel Falcao,34
2013–14,La Liga,38,28,6,4,77,26,90,W,SF,RU,RU,,,,,Diego Costa,36
2014–15,La Liga,38,23,9,6,67,29,78,3rd,QF,W,QF,,,,,Antoine Griezmann,25
2015–16,La Liga,38,28,4,6,63,18,88,3rd,QF,,RU,,,,,Antoine Griezmann,32
2016–17,La Liga,38,23,9,6,70,27,78,3rd,SF,,SF,,,,,Antoine Griezmann,26
2017–18,La Liga,38,23,10,5,58,22,79,2nd,QF,,GS,W,,,,Antoine Griezmann,29
2018–19,La Liga,38,22,10,6,55,29,76,2nd,R16,,R16,,,W,,Antoine Griezmann,20
