Season,League[15][20],League[15][20],League[15][20],League[15][20],League[15][20],League[15][20],League[15][20],League[15][20],League[15][20],Copa delRey[16],Europe[21][22][23][24],Europe[21][22][23][24],Other competitions[25][26][27][28][29][30],Other competitions[25][26][27][28][29][30],La Liga Top scorer[n 9],La Liga Top scorer[n 9]
Season,Division,Pos.,Pl.,W,D,L,GF,GA,Pts,Copa delRey[16],Europe[21][22][23][24],Europe[21][22][23][24],Other competitions[25][26][27][28][29][30],Other competitions[25][26][27][28][29][30],Name(s),Goals
1979–80,La Liga,4th,34,13,12,9,42,33,38,R16,Cup Winners' Cup,QF,UEFA Super Cup,F,Simonsen,10
1980–81,La Liga,5th,34,18,5,11,66,41,41,C,UEFA Cup,R16,,,Quini,20
1981–82,La Liga,2nd,34,19,7,8,75,40,45,R16,Cup Winners' Cup,C,,,Quini,27
1982–83,La Liga,4th,34,17,10,7,60,29,44,C,Cup Winners' Cup,QF,UEFA Super Cup,F,Maradona,11
1982–83,La Liga,4th,34,17,10,7,60,29,44,C,Cup Winners' Cup,QF,League Cup,C,Maradona,11
1983–84,La Liga,3rd,34,20,8,6,62,28,48,F,Cup Winners' Cup,QF,Supercopa de España,C,Marcos,12
1984–85,La Liga,1st,34,21,11,2,69,25,53,QF,Cup Winners' Cup,R32,,,Archibald,15
1985–86,La Liga,2nd,34,18,9,7,61,36,45,F,European Cup,F,Supercopa de España,F,Schuster,10
1985–86,La Liga,2nd,34,18,9,7,61,36,45,F,European Cup,F,League Cup,C,Schuster,10
1986–87,La Liga,2nd,34,18,13,3,51,22,49,R16,UEFA Cup,QF,,,Lineker,20
1987–88,La Liga,6th,38,15,9,14,49,44,39,C,UEFA Cup,QF,,,Lineker,16
1988–89,La Liga,2nd,38,23,11,4,80,26,57,QF,Cup Winners' Cup,C,Supercopa de España,F,Salinas,20
1989–90,La Liga,3rd,38,23,5,10,83,39,51,C,Cup Winners' Cup,R16,UEFA Super Cup,F,Salinas,15
1990–91,La Liga,1st,38,25,7,6,74,33,57,SF,Cup Winners' Cup,F,Supercopa de España,F,Stoichkov,14
1991–92,La Liga,1st,38,23,9,6,87,37,55,R16,European Cup,C,Supercopa de España,C,Stoichkov,17
1992–93,La Liga,1st,38,25,8,5,87,34,58,SF,Champions League,R16,Supercopa de España,C,Stoichkov,20
1992–93,La Liga,1st,38,25,8,5,87,34,58,SF,Champions League,R16,UEFA Super Cup,C,Stoichkov,20
1992–93,La Liga,1st,38,25,8,5,87,34,58,SF,Champions League,R16,Intercontinental Cup,F,Stoichkov,20
1993–94,La Liga,1st,38,25,6,7,91,42,56,QF,Champions League,F,Supercopa de España,F,Romario,30
1994–95,La Liga,4th,38,18,10,10,60,45,46,R16,Champions League,QF,Supercopa de España,C,"Stoichkov, Cruyff, Koeman",9
1995–96,La Liga,3rd,42,22,14,6,72,39,80,F,UEFA Cup,SF,,,García,10
1996–97,La Liga,2nd,42,28,6,8,102,48,90,C,Cup Winners' Cup,C,Supercopa de España,C,Ronaldo,34[n 13]
1997–98,La Liga,1st,38,23,5,10,78,56,74,C,Champions League,GS,Supercopa de España,F,Rivaldo,19
1997–98,La Liga,1st,38,23,5,10,78,56,74,C,Champions League,GS,UEFA Super Cup,C,Rivaldo,19
1998–99,La Liga,1st,38,24,7,7,87,43,79,QF,Champions League,GS,Supercopa de España,F,Rivaldo,24
1999–2000,La Liga,2nd,38,19,7,12,70,46,64,SF,Champions League,SF,Supercopa de España,F,Kluivert,15
2000–01,La Liga,4th,38,17,12,9,80,57,63,SF,Champions League,GS,,,Rivaldo,23
2000–01,La Liga,4th,38,17,12,9,80,57,63,SF,UEFA Cup,SF,,,Rivaldo,23
2001–02,La Liga,4th,38,18,10,10,65,37,64,R64,Champions League,SF,,,Kluivert,18
2002–03,La Liga,6th,38,15,11,12,63,47,56,R64,Champions League,QF,,,Kluivert,16
2003–04,La Liga,2nd,38,21,9,8,63,39,72,QF,UEFA Cup,R16,,,Ronaldinho,15
2004–05,La Liga,1st,38,25,9,4,73,29,84,R64,Champions League,R16,,,Eto'o,25
2005–06,La Liga,1st,38,25,7,6,80,35,82,QF,Champions League,C,Supercopa de España,C,Eto'o,26
2006–07,La Liga,2nd,38,22,10,6,78,33,76,SF,Champions League,R16,Supercopa de España,C,Ronaldinho,21
2006–07,La Liga,2nd,38,22,10,6,78,33,76,SF,Champions League,R16,UEFA Super Cup,F,Ronaldinho,21
2006–07,La Liga,2nd,38,22,10,6,78,33,76,SF,Champions League,R16,FIFA Club World Cup,F,Ronaldinho,21
2007–08,La Liga,3rd,38,19,10,9,76,43,67,SF,Champions League,SF,,,Eto'o,16
2008–09,La Liga,1st,38,27,6,5,105,35,87,C,Champions League,C,,,Eto'o,30
2009–10,La Liga,1st,38,31,6,1,98,24,99,R16,Champions League,SF,Supercopa de España,C,Messi,34[n 14]
2009–10,La Liga,1st,38,31,6,1,98,24,99,R16,Champions League,SF,UEFA Super Cup,C,Messi,34[n 14]
2009–10,La Liga,1st,38,31,6,1,98,24,99,R16,Champions League,SF,FIFA Club World Cup,C,Messi,34[n 14]
2010–11,La Liga,1st,38,30,6,2,95,21,96,F,Champions League,C,Supercopa de España,C,Messi,31
2011–12,La Liga,2nd,38,28,7,3,114,29,91,C,Champions League,SF,Supercopa de España,C,Messi,50[n 15]
2011–12,La Liga,2nd,38,28,7,3,114,29,91,C,Champions League,SF,UEFA Super Cup,C,Messi,50[n 15]
2011–12,La Liga,2nd,38,28,7,3,114,29,91,C,Champions League,SF,FIFA Club World Cup,C,Messi,50[n 15]
2012–13,La Liga,1st,38,32,4,2,115,40,100,SF,Champions League,SF,Supercopa de España,F,Messi,46[n 16]
2013–14,La Liga,2nd,38,27,6,5,100,33,87,F,Champions League,QF,Supercopa de España,C,Messi,28
2014–15,La Liga,1st,38,30,4,4,110,21,94,C,Champions League,C,,,Messi,43
2015–16,La Liga,1st,38,29,4,5,112,29,91,C,Champions League,QF,Supercopa de España,F,Suárez,40[n 17]
2015–16,La Liga,1st,38,29,4,5,112,29,91,C,Champions League,QF,UEFA Super Cup,C,Suárez,40[n 17]
2015–16,La Liga,1st,38,29,4,5,112,29,91,C,Champions League,QF,FIFA Club World Cup,C,Suárez,40[n 17]
2016–17,La Liga,2nd,38,28,6,4,116,37,90,C,Champions League,QF,Supercopa de España,C,Messi,37[n 18]
2017–18,La Liga,1st,38,28,9,1,99,29,93,C,Champions League,QF,Supercopa de España,F,Messi,34[n 19]
2018–19,La Liga,1st,38,26,9,3,90,36,87,F,Champions League,SF,Supercopa de España,C,Messi,36[n 20]
